"filename", "language", "HTML", "JavaScript", "JSON with Comments", "Markdown", "JSON", "vue", "XML", "CSS", "comment", "blank", "total"
"d:\大学个人文件\个人\mychat\vue\mychat\README.md", "Markdown", 0, 0, 0, 18, 0, 0, 0, 0, 0, 12, 30
"d:\大学个人文件\个人\mychat\vue\mychat\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\大学个人文件\个人\mychat\vue\mychat\jsconfig.json", "JSON with Comments", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"d:\大学个人文件\个人\mychat\vue\mychat\package-lock.json", "JSON", 0, 0, 0, 0, 2931, 0, 0, 0, 0, 1, 2932
"d:\大学个人文件\个人\mychat\vue\mychat\package.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"d:\大学个人文件\个人\mychat\vue\mychat\src\App.vue", "vue", 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
"d:\大学个人文件\个人\mychat\vue\mychat\src\api\axios.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 3, 4, 36
"d:\大学个人文件\个人\mychat\vue\mychat\src\api\chat.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"d:\大学个人文件\个人\mychat\vue\mychat\src\api\common.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\大学个人文件\个人\mychat\vue\mychat\src\api\crony.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 0, 1, 10, 97
"d:\大学个人文件\个人\mychat\vue\mychat\src\api\group.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 6, 62
"d:\大学个人文件\个人\mychat\vue\mychat\src\api\home.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\大学个人文件\个人\mychat\vue\mychat\src\api\user.js", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 0, 0, 8, 80
"d:\大学个人文件\个人\mychat\vue\mychat\src\assets\base.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 71, 2, 14, 87
"d:\大学个人文件\个人\mychat\vue\mychat\src\assets\common.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\大学个人文件\个人\mychat\vue\mychat\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\大学个人文件\个人\mychat\vue\mychat\src\assets\main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 30, 0, 6, 36
"d:\大学个人文件\个人\mychat\vue\mychat\src\assets\message.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"d:\大学个人文件\个人\mychat\vue\mychat\src\components\LogARis\Login.vue", "vue", 0, 0, 0, 0, 0, 60, 0, 0, 0, 7, 67
"d:\大学个人文件\个人\mychat\vue\mychat\src\components\LogARis\Register.vue", "vue", 0, 0, 0, 0, 0, 74, 0, 0, 0, 4, 78
"d:\大学个人文件\个人\mychat\vue\mychat\src\components\UserInfo.vue", "vue", 0, 0, 0, 0, 0, 140, 0, 0, 0, 17, 157
"d:\大学个人文件\个人\mychat\vue\mychat\src\components\common\DefaultDialog.vue", "vue", 0, 0, 0, 0, 0, 16, 0, 0, 0, 7, 23
"d:\大学个人文件\个人\mychat\vue\mychat\src\components\common\DefaultDrawer.vue", "vue", 0, 0, 0, 0, 0, 28, 0, 0, 0, 1, 29
"d:\大学个人文件\个人\mychat\vue\mychat\src\components\common\SmallDialog.vue", "vue", 0, 0, 0, 0, 0, 16, 0, 0, 0, 8, 24
"d:\大学个人文件\个人\mychat\vue\mychat\src\components\common\SmallDialogT.vue", "vue", 0, 0, 0, 0, 0, 16, 0, 0, 0, 8, 24
"d:\大学个人文件\个人\mychat\vue\mychat\src\components\groupInfo.vue", "vue", 0, 0, 0, 0, 0, 133, 0, 0, 0, 20, 153
"d:\大学个人文件\个人\mychat\vue\mychat\src\components\home.vue", "vue", 0, 0, 0, 0, 0, 83, 0, 0, 0, 7, 90
"d:\大学个人文件\个人\mychat\vue\mychat\src\components\home\Context.vue", "vue", 0, 0, 0, 0, 0, 164, 0, 0, 0, 15, 179
"d:\大学个人文件\个人\mychat\vue\mychat\src\components\home\GroupMember.vue", "vue", 0, 0, 0, 0, 0, 91, 0, 0, 4, 11, 106
"d:\大学个人文件\个人\mychat\vue\mychat\src\components\home\IconMenu.vue", "vue", 0, 0, 0, 0, 0, 116, 0, 0, 3, 21, 140
"d:\大学个人文件\个人\mychat\vue\mychat\src\components\home\Icon\AddFrom.vue", "vue", 0, 0, 0, 0, 0, 155, 0, 0, 0, 12, 167
